"","Mobility","Employment","Sex","Education","Disability","Health_insurance","Own_child","Race","Total_person_income"
"2909",1,6,1,18,1,1,0,1,36500
"5068",3,2,2,18,2,1,0,1,20000
"5108",1,1,1,19,2,1,0,1,110200
"4410",1,6,2,20,2,1,0,1,8200
"2101",1,6,1,14,2,1,0,1,1500
"3247",1,1,1,23,2,1,0,1,95600
"2572",1,1,1,16,1,1,0,8,29970
"2528",3,3,2,20,2,1,0,1,2000
"3627",1,6,1,19,1,1,0,1,57900
"1965",1,1,1,16,2,1,0,1,35000
"858",3,1,1,21,2,1,0,1,36200
"5595",3,1,1,22,2,1,0,1,60000
"3215",1,6,1,16,1,1,0,1,20400
"5355",1,6,1,21,2,1,0,1,13600
"5210",1,1,1,16,2,1,0,1,34000
"742",1,1,2,20,2,2,0,3,35960
"5263",1,6,2,21,2,1,0,9,30000
"5279",1,6,2,1,1,1,0,1,21600
"282",3,1,2,21,2,1,0,1,40000
"3786",1,1,2,22,2,1,0,1,24000
"4705",1,1,2,16,2,1,0,1,24000
"5184",1,2,2,13,2,1,1,1,250
"3350",1,1,1,18,2,1,0,1,24000
"4617",1,6,1,16,2,1,0,1,21800
"604",1,1,1,19,2,1,0,1,55000
"3220",1,6,2,16,2,1,0,1,9400
"3040",1,6,1,18,2,1,0,1,36010
"974",1,1,2,17,2,1,0,1,16000
"2164",1,6,2,16,1,1,0,1,14300
"2316",1,1,1,13,2,1,0,1,48000
"2932",1,1,1,20,2,1,0,1,80000
"3915",1,6,1,11,2,2,0,1,30000
"2238",1,6,2,15,2,1,0,1,16800
"1109",1,6,2,14,2,1,0,3,540
"4137",1,1,1,16,2,1,0,1,65000
"5690",1,6,1,21,2,1,0,1,313300
"1205",1,1,1,18,2,1,0,1,35000
"2097",1,1,2,19,2,1,0,1,87000
"2798",1,6,2,16,2,1,0,1,16000
"1014",1,1,2,19,2,1,0,1,56000
"1998",1,1,1,19,2,1,0,1,30000
"4027",1,1,2,22,2,1,0,1,70000
"3926",1,6,1,20,1,1,0,1,9600
"114",1,1,2,20,2,1,0,1,57000
"2548",1,6,2,16,2,1,0,1,13000
"4605",1,1,2,16,2,1,0,3,36600
"3062",3,1,1,11,2,1,0,8,45000
"5337",1,6,1,20,1,1,0,1,17000
"2001",1,1,1,13,2,1,0,1,85000
"2667",1,1,1,16,2,1,0,1,32210
"3970",1,6,2,21,2,1,0,1,41100
"3514",1,2,2,21,2,1,0,1,42500
"2754",1,1,1,16,2,1,0,1,31200
"4725",1,1,2,16,2,1,0,1,30000
"4887",1,1,2,22,2,1,0,9,58000
"47",1,1,2,15,2,1,0,1,28000
"5189",3,1,1,16,2,1,0,1,182000
"4301",1,1,1,20,2,1,0,1,120200
"4959",1,1,1,19,2,2,0,1,44000
