"","AGE","EDUCATION","SEX","DISABILITY","INSURANCE","CHILD","RACE","INCOME"
"1287",19,19,1,2,1,0,1,13000
"3347",46,19,2,2,1,0,1,60000
"2016",19,19,2,2,1,0,1,3000
"2283",41,16,1,2,1,0,1,60000
"930",31,16,1,1,1,0,1,10000
"755",53,19,1,2,1,0,1,85000
"3464",53,16,1,2,1,0,1,38000
"4154",26,20,1,2,1,0,1,12000
"1635",60,22,2,2,1,0,1,7800
"795",66,18,1,1,1,0,1,3630
"1398",78,16,1,1,1,0,1,81300
"4223",78,16,2,1,1,0,1,34800
"2663",15,11,2,2,1,1,1,30000
"2578",18,14,2,1,1,0,1,11400
"24",26,21,1,2,1,0,1,50000
"2450",31,16,1,2,2,0,1,80000
"2082",45,19,2,2,2,0,1,16400
"2363",18,18,1,2,1,0,1,5000
"779",63,18,1,2,1,0,1,55000
"3846",32,22,2,2,1,0,1,13000
"683",28,19,2,2,1,0,1,30000
"154",55,21,2,2,1,0,1,25000
"3963",29,21,1,2,1,0,1,80400
"3537",53,15,2,2,1,0,6,0
"1755",19,16,1,2,1,0,8,4000
"899",35,19,2,2,1,0,1,18000
"1545",15,12,2,2,1,1,1,0
"2137",31,19,2,1,2,0,1,0
"312",66,19,2,2,1,0,1,76200
"3972",28,16,2,2,2,0,1,40000
"1115",70,24,1,2,1,0,1,46500
"3990",74,21,1,2,1,0,1,21600
"4174",41,22,2,2,1,0,1,38000
"43",77,21,1,2,1,0,1,20000
"1498",51,23,2,2,2,0,3,25000
"4036",65,16,1,1,1,0,1,89000
"1095",56,22,1,2,1,0,1,0
"1243",35,22,2,2,1,0,1,65000
"1819",79,16,2,2,1,0,1,17010
"3199",62,16,1,2,1,0,1,101000
"3326",76,22,1,1,1,0,1,43300
"1163",25,14,2,2,1,0,1,9800
"3122",61,21,1,2,1,0,1,65000
"884",60,16,1,1,1,0,1,84600
"492",60,20,2,1,1,0,1,9000
"526",55,20,1,2,1,0,1,92000
"4279",72,1,2,2,1,0,1,15700
"1596",55,21,2,2,1,0,1,35010
"1080",43,18,1,2,2,0,1,1500
"3768",62,19,2,2,2,0,1,11200
"3448",60,16,1,1,1,0,1,24000
"2088",70,16,2,2,1,0,1,20800
"749",28,21,2,2,1,0,1,78000
"2688",47,16,1,2,1,0,1,36000
"1207",35,21,1,2,1,0,1,8000
"3293",69,19,1,2,1,0,1,79200
"1201",23,18,2,2,2,0,3,18700
"467",26,16,1,2,2,0,1,18200
"1852",65,18,2,2,1,0,1,21000
"572",41,15,1,2,2,0,1,0
"2570",33,19,2,2,1,0,1,0
"3838",31,21,1,2,1,0,1,98000
"3609",38,19,1,2,1,0,1,13600
"1397",63,21,1,2,1,0,1,38100
"963",60,16,2,2,1,0,1,-8100
"3142",18,18,1,2,1,0,9,20800
"3783",26,20,2,2,1,0,1,25000
"4258",35,20,2,2,1,0,1,99500
"2845",26,21,1,2,1,0,6,24200
"938",68,21,1,1,1,0,1,94290
"1711",62,18,2,2,1,0,1,49000
"3925",15,12,2,2,2,1,1,2600
"4426",49,19,2,1,2,0,1,28800
"2699",67,16,1,1,1,0,1,37600
"4477",58,19,2,2,2,0,1,5000
"4044",32,19,2,2,1,0,1,800
"3723",73,22,1,2,1,0,1,58000
"2382",60,16,2,2,2,0,1,26000
"3224",31,21,1,2,1,0,1,69000
"279",58,12,1,2,2,0,1,24000
"3849",62,18,2,2,1,0,6,25500
"807",35,16,1,2,1,0,1,10000
"3850",32,21,2,2,1,0,1,35300
"2322",82,19,2,2,1,0,1,31800
"1333",54,21,1,1,1,0,1,55000
"3056",34,21,2,2,1,0,1,15000
"3647",17,13,1,1,1,1,1,0
"3876",32,20,1,2,1,0,1,60000
"947",69,18,2,1,1,0,1,39800
"4430",40,16,1,2,1,0,1,75000
"4493",74,12,2,2,1,0,1,7800
"855",41,16,2,1,1,0,1,20000
"1078",71,20,2,2,1,0,1,19100
"148",46,19,2,2,2,0,1,10500
"1602",51,21,2,2,1,0,1,0
"3045",21,20,2,2,1,0,1,2000
"3015",75,19,1,2,1,0,1,35000
"490",46,22,2,1,1,0,1,32600
"4349",45,22,2,2,1,0,1,68000
"244",66,23,1,2,1,0,1,100000
"554",73,17,2,2,1,0,1,7800
"1605",65,17,2,2,1,0,1,12900
"573",19,16,1,2,1,0,1,50000
"1939",67,19,2,1,1,0,1,30900
"500",61,16,2,2,1,0,1,35000
"820",31,20,1,2,2,0,1,16050
"569",93,20,2,1,1,0,1,6000
"465",26,17,1,2,1,0,1,42000
"278",55,14,2,2,2,0,1,27400
"4127",64,18,1,2,1,0,1,38000
"3833",82,13,1,1,1,0,1,11400
"2277",59,17,1,2,1,0,1,56200
"2215",29,18,2,2,1,0,1,14500
"2820",37,22,2,2,1,0,1,47000
"3572",52,22,1,2,1,0,1,58400
"3743",16,13,1,2,1,1,1,0
"1062",66,21,1,2,1,0,1,15000
"2113",47,16,1,2,1,0,1,90000
"4442",87,19,2,1,1,0,1,23480
"3210",21,18,2,2,1,0,3,6200
"1757",58,20,1,2,2,0,2,30000
"156",69,20,2,2,1,0,1,17570
"2774",23,18,1,2,1,0,1,24000
"885",78,23,1,2,1,0,1,24600
"271",55,17,2,2,1,0,1,120000
"2648",75,16,1,1,1,0,1,20400
"4336",37,16,1,2,1,0,1,50000
"2666",69,20,1,2,1,0,1,27000
"1012",42,16,2,2,1,0,1,9200
"1526",66,16,1,1,1,0,1,28400
"3123",45,19,2,1,1,0,1,1200
"2371",87,16,2,2,1,0,1,13200
"1710",93,16,2,1,1,0,1,14300
"3443",61,14,1,1,1,0,1,27000
"3121",59,21,2,2,1,0,1,80000
"2914",63,21,2,2,1,0,1,54500
"2098",20,16,1,2,1,0,1,32210
"862",71,21,1,2,1,0,1,81900
"553",18,14,2,2,1,0,1,6000
"2266",60,21,1,2,1,0,1,393000
"2180",71,19,1,1,1,0,1,10800
"3073",29,16,1,2,1,0,1,35000
"2805",82,12,2,2,1,0,1,44400
"3499",41,21,2,1,1,0,1,16000
"2812",33,20,2,2,1,0,1,35000
"3147",38,17,1,2,2,0,1,35000
"3337",20,14,1,2,2,0,3,600
"3589",83,22,2,2,1,0,1,38300
"4229",49,18,2,2,1,0,1,33000
"1761",27,16,1,2,1,0,1,5000
"3978",93,16,2,2,1,0,1,20700
"1112",16,13,2,2,1,1,1,0
"3415",37,21,1,2,1,0,1,98000
"2557",15,12,1,2,1,1,1,2000
"441",60,20,1,1,1,0,1,146000
"186",66,20,2,1,1,0,1,2600
"2008",32,20,2,2,1,0,6,17000
"3636",48,21,2,1,1,0,1,10800
"2350",47,16,2,2,2,0,1,0
"2010",45,21,2,2,1,0,1,100000
