"","Private","Apps","Accept","Enroll","Top10perc","Top25perc","F.Undergrad","P.Undergrad","Outstate","Room.Board","Books","Personal","PhD","Terminal","S.F.Ratio","perc.alumni","Expend","Grad.Rate"
"34",2,602,483,206,21,47,958,466,8620,4100,400,2250,58,68,11,21,6136,65
"319",2,1561,1188,458,48,72,1548,840,13380,4210,500,900,89,91,17.8,34,8747,81
"576",2,462,402,146,36,68,527,41,14500,6000,500,600,91,99,6.5,48,18953,61
"87",2,2694,1579,489,75,93,1870,12,19292,3957,550,550,81,93,10.4,60,17960,91
"402",1,2225,1910,1190,29,55,5968,955,4738,3110,700,940,72,76,20.2,27,5972,52
"147",2,232,216,106,16,34,534,172,6900,3800,450,1825,67,76,12.1,9,6875,42
"90",2,1096,951,464,27,62,1776,239,8150,3150,400,500,61,62,13.6,16,6716,67
"540",2,213,155,75,28,66,504,147,7200,3532,550,1500,56,56,11.8,12,7818,52
"638",1,19152,12940,4893,66,92,22045,1339,15732,4659,476,1600,90,98,11.5,26,14847,87
"267",2,607,558,269,22,47,1222,519,10500,4348,650,1500,81,91,11.6,29,8324,75
"473",2,2302,1831,391,58,82,1345,59,15200,4768,550,1500,90,96,10.8,47,13388,77
"67",2,1436,1228,1202,10,26,1320,822,4371,2370,500,2000,62,62,12.6,10,4900,18
"273",2,1163,927,386,16,49,1685,556,8840,4689,750,2775,67,69,11.4,21,6095,95
"195",2,560,454,113,36,56,484,16,10955,3450,330,670,62,87,10.6,31,9552,53
"577",2,10477,7260,2442,28,67,10142,117,15150,6870,635,960,73,84,11.3,13,14231,67
"316",2,787,562,363,21,55,925,605,5950,2890,600,1300,67,72,14.6,35,5177,53
"572",1,5549,3583,853,9,40,5004,475,6550,4176,600,1380,80,90,17.9,16,6174,65
"573",1,3150,2289,650,16,51,3598,234,6840,4660,500,1000,71,75,15.1,17,6436,59
"559",1,4019,1579,710,23,65,4365,765,3040,4351,711,1125,78,92,19.5,7,5599,64
"309",2,1386,1060,320,28,56,965,502,13850,4755,400,1125,84,84,12.3,30,8196,85
"530",1,2807,2589,1701,13,37,7000,1103,3811,2190,500,1970,62,65,15,29,5084,67
"441",2,8256,3750,1522,37,70,5809,4379,11000,5160,660,1115,90,95,13.8,10,10059,62
"497",2,292,241,96,20,52,543,712,12200,4600,650,950,87,90,11.2,32,8680,76
"1",2,1660,1232,721,23,52,2885,537,7440,3300,450,2200,70,78,18.1,12,7041,60
"331",2,1549,1392,587,38,72,2269,85,13240,3560,600,400,73,85,13.8,38,8949,77
"152",2,1538,1329,383,33,68,1140,10,15248,4323,550,800,71,76,12.2,31,10340,64
"264",2,450,430,125,20,46,488,43,9950,3920,300,1300,76,76,11.8,25,9466,47
"426",2,1743,1625,626,8,29,1862,382,14134,5270,500,800,71,74,13.1,22,9209,63
"244",2,1006,825,328,34,73,1362,102,13252,4194,450,550,89,93,13,33,10296,65
"76",2,599,494,224,8,28,1035,446,10518,6250,300,300,59,76,16.5,36,7117,71
"167",2,1998,1376,651,41,88,1539,45,6700,3650,500,2307,52,52,14.1,12,7566,61
"461",2,5139,3346,973,20,55,3717,1358,14400,6200,450,1100,66,74,18.4,35,8135,96
"287",2,313,228,137,10,30,552,67,9414,4554,500,1700,34,55,10.6,30,7840,56
"543",2,3713,1237,443,47,83,1971,107,7000,5565,660,2400,73,80,12.5,18,9988,65
"70",2,7365,5402,4615,48,82,27378,1253,2340,3580,860,1220,76,76,20.5,40,7916,33
"297",2,1040,845,286,48,77,967,24,15747,4062,400,800,88,95,12.7,33,13224,79
"671",2,3934,2735,886,40,70,3698,217,13600,5940,630,1820,93,96,15.6,13,10813,66
"609",2,682,535,204,22,43,771,611,9500,3540,400,750,26,58,2.5,10,7683,57
"604",1,1797,1260,938,24,35,6960,4698,4440,5175,750,2200,96,96,6.7,16,16352,33
"120",1,689,561,250,15,30,1125,422,7168,3689,600,1900,67,67,18.1,9,4417,46
"88",2,8728,5201,1191,60,89,4265,291,17900,5690,450,1250,86,93,9.2,31,24386,74
"444",2,943,849,288,41,71,1041,35,14210,3994,450,1100,76,76,10.9,22,11216,42
"233",2,555,414,242,14,41,996,2281,9100,3100,550,880,51,61,23.6,24,5609,47
"445",1,944,774,440,14,34,2174,529,6360,2760,550,1498,77,77,15,5,6443,48
"215",2,2464,1908,678,24,57,2693,691,10970,4280,500,1380,47,51,13.3,18,7711,65
"127",2,798,620,238,14,41,1165,1232,9800,4430,400,1150,46,46,11.1,35,6889,100
"528",2,4293,2728,591,25,62,2322,263,18710,5970,500,700,87,92,12.7,29,14837,81
"62",1,9251,7333,3076,14,45,13699,1213,7452,3352,600,1700,81,89,21.1,14,6918,67
"313",2,477,417,204,29,54,1532,77,8840,4240,600,1400,58,70,20.8,23,6863,56
"343",2,1611,960,342,27,60,1089,210,13850,3920,470,810,80,97,13.2,30,10223,96
"401",2,2519,1836,462,30,61,1656,352,16975,4565,600,850,76,86,12.8,39,10888,83
