"","Private","Apps","Accept","Enroll","Top10perc","Top25perc","F.Undergrad","P.Undergrad","Outstate","Room.Board","Books","Personal","PhD","Terminal","S.F.Ratio","perc.alumni","Expend","Grad.Rate"
"224",1,3793,2341,1238,9,24,7732,9054,6744,2655,720,3450,87,89,19,10,7762,34
"612",1,9735,7187,2064,23,63,12478,1660,11656,5072,700,2300,89,95,16,16,10178,71
"317",1,1660,1091,326,15,41,1196,33,4818,3400,350,1400,71,72,12.6,8,10912,45
"684",1,7473,5372,3013,27,53,15749,3237,5764,3262,750,3300,86,92,16.5,22,8612,53
"727",2,1209,942,214,31,60,822,46,15276,5318,500,300,79,86,11.2,37,10830,65
"36",2,261,192,111,15,36,453,266,9690,4300,500,500,57,77,9.7,35,9337,71
"408",2,13594,7244,2505,70,86,12408,2814,17748,7262,450,1000,87,98,7.8,16,21227,71
"688",2,974,704,290,5,22,1145,39,12520,3860,1300,700,16,59,7.5,9,11641,57
"425",2,12289,5200,1902,85,98,7450,45,16404,5520,759,1585,96,100,6.8,25,26385,92
"351",2,941,772,214,10,30,1247,776,11390,5280,500,750,77,82,10.6,17,8575,55
"734",2,2895,1249,579,80,96,2195,156,18345,5995,500,700,94,98,10.6,51,21409,91
"348",1,4350,2178,756,39,78,2997,736,6490,4942,650,2102,75,80,17.6,30,5358,84
"519",2,4576,3565,1000,16,36,4384,1530,12000,6484,650,1000,81,84,14.4,15,10080,64
"438",2,1496,1205,428,26,57,1648,936,12888,4440,420,840,62,68,13.9,30,8802,87
"79",1,7811,3817,1650,47,73,12911,1404,7380,4877,612,2091,72,81,19.8,13,8453,59
"686",1,14752,9572,5329,48,85,30017,5189,5130,3309,650,3140,91,99,19.7,11,7837,65
"188",2,245,208,125,23,46,544,436,11800,4765,450,1700,71,71,11.3,21,8952,86
"32",2,948,798,295,42,74,1120,15,11280,4342,400,1150,81,95,13,33,11361,71
"249",2,1721,1068,806,35,75,3128,213,5504,3528,700,910,71,77,17.7,37,6466,73
"724",2,1231,1074,345,34,66,1295,105,11600,3610,400,850,66,91,12.4,37,7735,67
"674",2,4471,2942,910,29,60,3674,493,11584,5986,650,800,83,83,14.1,41,9131,92
"524",2,464,419,183,10,31,686,287,9240,3880,475,1090,29,49,7.2,17,9431,47
"484",1,48094,26330,4520,36,79,21401,3712,7410,4748,690,2009,90,95,19.5,19,10474,77
"750",2,996,866,377,29,58,1411,72,12065,3615,430,685,62,78,12.5,41,8596,80
"494",2,920,684,225,24,42,815,222,11200,4250,600,950,55,60,14.8,19,7360,67
"533",2,385,340,193,18,38,784,127,9520,4124,630,1818,63,65,18.6,11,8219,43
"409",2,872,722,154,14,36,601,36,10194,2600,500,1500,57,63,11.4,32,5788,83
"446",1,19315,10344,3450,48,93,28938,2025,10645,4060,512,2394,77,96,18.1,19,8992,63
"217",2,668,534,237,19,39,1306,258,9476,4820,500,1100,67,67,20.1,26,6786,74
"111",2,81,72,51,33,71,139,3,8730,3600,400,800,92,92,9.3,17,10922,58
"720",2,1416,1015,417,10,44,1324,117,13500,5800,585,1700,67,78,13.2,23,9006,75
"757",2,1681,1069,344,35,63,1235,30,16249,5699,500,1998,84,92,13.6,29,11778,52
"515",2,584,413,131,19,51,521,99,8955,5900,500,1488,51,56,11.8,23,8545,52
"592",1,5042,2312,944,55,94,5167,902,5391,5411,700,1000,81,87,14.4,6,8504,81
"19",2,1130,704,322,14,23,1586,326,9996,3090,900,1320,62,66,11.5,18,10908,46
"355",2,6411,2140,1078,96,99,4481,28,20100,5975,725,1600,99,99,10.1,35,33541,94
"563",1,15039,9649,3087,36,100,13963,3124,6550,4731,708,957,90,97,13.6,15,11177,56
"161",2,571,461,174,10,26,645,283,10850,3670,400,1159,58,60,12.8,19,7505,56
"236",2,608,494,176,10,31,649,314,8330,3770,550,1300,64,80,13,31,7949,39
"171",2,1011,829,410,9,33,1059,2458,9000,3100,450,1413,77,78,12.4,7,11178,42
"106",2,174,146,88,8,29,1047,33,8300,3080,600,600,62,62,15.2,18,3365,58
"306",1,1166,1009,510,9,33,2074,341,4938,2987,528,1702,67,77,17,11,6119,51
"305",2,831,538,224,15,35,840,325,5170,3430,600,1590,61,61,16.1,10,5531,60
"271",2,3050,1342,471,55,86,1818,23,14360,4090,400,650,77,92,12.9,34,9605,83
"112",2,880,520,224,16,42,1068,364,9300,3260,600,900,81,81,11.1,24,8129,63
"102",2,1283,1113,401,31,65,1355,40,10938,3660,650,600,76,90,13.5,29,8444,67
"738",2,4772,1973,712,60,86,2714,27,19130,5600,1400,1400,90,94,12.1,39,16262,92
"341",1,3073,2672,1547,9,29,9649,1792,4300,2643,450,1660,57,68,19,11,5801,68
"194",2,659,557,167,47,74,532,35,10485,3840,475,1246,76,80,13.5,47,7527,67
"625",1,8384,5727,2710,22,50,13518,2916,7230,5088,630,3228,82,84,10,6,13883,34
