"","AGE","EDUCATION","SEX","DISABILITY","INSURANCE","CHILD","RACE","INCOME"
"1",19,18,1,2,1,0,1,5000
"2",93,16,2,1,1,0,1,18700
"3",40,22,2,2,1,0,1,68000
"4",43,18,1,2,1,0,1,60000
"5",15,11,1,2,1,1,1,0
"6",78,16,1,2,1,0,1,44920
"7",74,16,2,2,1,0,1,10400
"8",80,16,2,2,1,0,1,12100
"9",54,18,2,2,2,0,1,4000
"10",44,18,2,1,1,0,1,0
"11",55,16,1,2,1,0,1,125000
"12",59,21,2,2,1,0,1,9300
"13",85,22,1,1,1,0,1,63700
"14",33,21,1,2,1,0,1,25820
"15",38,22,2,2,1,0,1,50000
"16",32,20,2,2,1,0,1,160
"17",44,20,1,1,1,0,1,64000
"18",39,20,2,2,1,0,1,50000
"19",37,21,1,2,1,0,1,60000
"20",19,14,1,2,1,0,1,0
"21",16,13,2,2,1,1,1,0
"22",52,20,2,2,1,0,1,35000
"23",29,21,2,2,1,0,1,33000
"24",26,21,1,2,1,0,1,50000
"25",70,16,1,2,1,0,1,35800
"26",59,21,2,2,1,0,1,65000
"27",34,21,2,2,2,0,1,19800
"28",66,20,1,2,1,0,1,87000
"29",66,20,2,2,1,0,1,25200
"30",70,19,2,2,1,0,1,49600
"31",70,21,1,2,1,0,1,136000
"32",71,18,2,2,1,0,1,17500
"33",53,23,1,2,1,0,1,130030
"34",48,23,2,2,1,0,1,125000
"35",18,14,1,2,1,0,1,0
"36",79,19,2,2,1,0,1,26800
"37",54,15,2,2,1,0,1,28000
"38",68,16,1,2,1,0,1,22600
"39",68,16,2,2,1,0,1,13200
"40",46,21,2,1,2,0,1,4600
"41",52,19,1,1,2,0,1,12200
"42",22,18,1,2,1,0,1,11500
"43",77,21,1,2,1,0,1,20000
"44",80,16,2,1,1,0,1,31000
"45",51,21,1,2,1,0,1,50000
"46",49,16,2,2,1,0,1,55000
"47",15,12,1,2,2,1,1,0
"48",74,20,2,2,1,0,1,36000
"49",37,16,2,2,1,0,1,25000
"50",57,13,1,2,2,0,1,94000
"51",60,16,1,2,1,0,1,28000
"52",54,16,2,2,1,0,1,28000
"53",64,16,2,2,1,0,3,53200
"54",18,14,1,2,1,0,3,1200
"55",38,20,1,2,1,0,1,50000
"56",37,21,2,2,1,0,6,24000
"57",42,22,2,2,1,0,1,48050
"58",43,16,1,1,1,0,1,32900
"59",20,16,1,2,1,0,1,26000
"60",25,21,2,2,1,0,1,8000
"61",52,12,1,2,2,0,1,72000
"62",36,13,2,2,2,0,1,0
"63",35,18,1,2,2,0,1,10000
"64",35,22,2,2,1,0,1,25000
"65",58,16,1,2,1,0,1,29350
"66",58,19,1,2,1,0,1,50000
"67",58,18,2,2,1,0,1,12000
"68",61,19,2,2,1,0,1,39000
"69",59,18,2,2,1,0,1,29870
"70",67,19,1,1,1,0,1,1500
"71",65,22,2,1,1,0,1,31900
"72",67,19,2,2,1,0,1,33500
"73",70,13,1,2,1,0,1,55800
"74",36,16,1,2,1,0,1,95000
"75",31,18,2,2,1,0,1,30000
"76",80,21,1,1,1,0,1,28620
"77",46,21,2,2,2,0,1,3600
"78",75,21,2,2,1,0,1,77000
"79",72,18,1,2,1,0,1,222400
"80",74,20,1,1,1,0,1,123700
"81",74,16,2,1,1,0,1,12870
"82",20,16,2,2,1,0,1,10000
"83",37,16,1,2,1,0,1,48000
"84",60,18,2,1,1,0,1,35000
"85",62,20,1,2,1,0,1,65500
"86",60,18,2,1,1,0,1,0
"87",27,21,2,2,1,0,1,47500
"88",28,22,1,2,1,0,1,30000
"89",60,16,1,2,1,0,1,35220
"90",59,17,2,1,1,0,1,12400
"91",51,16,1,2,1,0,1,93470
"92",60,16,2,2,1,0,1,0
"93",66,20,1,2,1,0,3,33300
"94",29,19,1,2,1,0,3,27400
"95",29,20,2,2,1,0,1,57000
"96",36,20,1,1,1,0,1,24200
"97",70,23,1,2,1,0,1,207000
"98",70,20,2,2,1,0,1,205000
"99",65,16,2,2,1,0,1,26700
"100",66,16,1,2,1,0,1,27900
"101",67,19,1,2,1,0,1,68050
"102",68,24,2,2,1,0,1,73000
"103",57,19,2,2,1,0,1,46000
"104",33,19,2,2,2,0,1,44000
"105",74,19,2,2,1,0,1,21600
"106",53,20,2,2,1,0,1,13000
"107",48,16,1,2,1,0,1,95000
"108",27,18,1,2,1,0,9,27620
"109",19,13,2,2,2,0,3,0
"110",38,22,2,2,1,0,1,42420
"111",44,21,1,2,1,0,1,42000
"112",18,14,2,2,1,0,1,0
"113",57,14,2,2,2,0,1,24400
"114",74,18,2,2,1,0,1,17300
"115",54,17,1,2,1,0,1,750
"116",80,21,1,1,1,0,1,0
"117",74,19,2,2,1,0,1,216500
"118",56,18,1,1,1,0,1,9500
"119",56,21,2,1,1,0,1,36000
"120",18,14,1,2,1,0,1,0
"121",25,17,2,2,1,0,1,7000
