"","Employment","Sex","Education","Disability","Health_insurance","Own_child","Race","Total_person_income"
"1","1","1","18","2","1","0","1",5000
"2","6","2","16","1","1","0","1",18700
"3","1","2","22","2","1","0","1",67999.9999999998
"4","1","1","18","2","1","0","1",59999.9999999999
"5","6","1","16","2","1","0","1",44920
"6","6","2","16","2","1","0","1",10400
"7","6","2","16","2","1","0","1",12100
"8","3","2","18","2","2","0","1",4000
"9","1","1","16","2","1","0","1",125000
"10","3","2","21","2","1","0","1",9299.99999999999
"11","6","1","22","1","1","0","1",63700
"12","1","1","21","2","1","0","1",25820
"13","1","2","22","2","1","0","1",50000
"14","1","2","20","2","1","0","1",160
"15","6","1","20","1","1","0","1",64000
"16","1","2","20","2","1","0","1",50000
"17","1","1","21","2","1","0","1",59999.9999999999
"18","1","2","20","2","1","0","1",34999.9999999999
"19","1","2","21","2","1","0","1",32999.9999999999
"20","1","1","21","2","1","0","1",50000
"21","1","1","16","2","1","0","1",35800
"22","1","2","21","2","1","0","1",65000.0000000001
"23","1","2","21","2","2","0","1",19800
"24","6","1","20","2","1","0","1",87000
"25","6","2","20","2","1","0","1",25200
"26","1","2","19","2","1","0","1",49600.0000000001
"27","1","1","21","2","1","0","1",136000
"28","6","2","18","2","1","0","1",17500
"29","1","1","23","2","1","0","1",130030
"30","1","2","23","2","1","0","1",125000
"31","6","2","19","2","1","0","1",26800
"32","1","2","15","2","1","0","1",28000
"33","6","1","16","2","1","0","1",22600
"34","6","2","16","2","1","0","1",13200
"35","6","2","21","1","2","0","1",4600.00000000001
"36","1","1","19","1","2","0","1",12200
"37","3","1","18","2","1","0","1",11500
"38","6","1","21","2","1","0","1",20000
"39","6","2","16","1","1","0","1",31000
"40","1","1","21","2","1","0","1",50000
"41","1","2","16","2","1","0","1",55000.0000000001
"42","6","2","20","2","1","0","1",36000
"43","1","2","16","2","1","0","1",25000
"44","1","1","13","2","2","0","1",94000.0000000002
"45","1","1","16","2","1","0","1",28000
"46","1","2","16","2","1","0","1",28000
"47","1","2","16","2","1","0","3",53200.0000000001
"48","6","1","14","2","1","0","3",1200
"49","1","1","20","2","1","0","1",50000
"50","1","2","21","2","1","0","6",24000
"51","1","2","22","2","1","0","1",48050.0000000001
"52","1","1","16","1","1","0","1",32899.9999999999
"53","1","1","16","2","1","0","1",25999.9999999999
"54","1","2","21","2","1","0","1",8000
"55","1","1","12","2","2","0","1",72000
"56","1","1","18","2","2","0","1",9999.99999999999
"57","1","2","22","2","1","0","1",25000
"58","1","1","16","2","1","0","1",29350
"59","1","1","19","2","1","0","1",50000
"60","1","2","18","2","1","0","1",12000
"61","6","2","19","2","1","0","1",39000
"62","1","2","18","2","1","0","1",29869.9999999999
"63","6","1","19","1","1","0","1",1500
"64","6","2","22","1","1","0","1",31900
"65","6","2","19","2","1","0","1",33500.0000000001
"66","1","1","13","2","1","0","1",55799.9999999999
"67","1","1","16","2","1","0","1",95000.0000000002
