AGE,EDUCATION,SEX,DISABILITY,INSURANCE,CHILD,RACE,INCOME
19,"College, less than 1 year",Male,Without diability,Health insurance coverage,No child,White alone,5000
93,Regular high school diploma,Female,With disability,Health insurance coverage,No child,White alone,18700
40,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,68000
43,"College, less than 1 year",Male,Without diability,Health insurance coverage,No child,White alone,60000
15,Grade 8,Male,Without diability,Health insurance coverage,Have child,White alone,0
78,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,44920
74,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,10400
80,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,12100
54,"College, less than 1 year",Female,Without diability,No health insurance coverage,No child,White alone,4000
44,"College, less than 1 year",Female,With disability,Health insurance coverage,No child,White alone,0
55,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,125000
59,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,9300
85,Master's degree,Male,With disability,Health insurance coverage,No child,White alone,63700
33,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,25820
38,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,50000
32,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,160
44,Associate's degree,Male,With disability,Health insurance coverage,No child,White alone,64000
39,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,50000
37,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,60000
19,Grade 11,Male,Without diability,Health insurance coverage,No child,White alone,0
16,Grade 10,Female,Without diability,Health insurance coverage,Have child,White alone,0
52,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,35000
29,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,33000
26,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,50000
70,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,35800
59,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,65000
34,Bachelor's degree,Female,Without diability,No health insurance coverage,No child,White alone,19800
66,Associate's degree,Male,Without diability,Health insurance coverage,No child,White alone,87000
66,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,25200
70,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,49600
70,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,136000
71,"College, less than 1 year",Female,Without diability,Health insurance coverage,No child,White alone,17500
53,Professional degree beyond college,Male,Without diability,Health insurance coverage,No child,White alone,130030
48,Professional degree beyond college,Female,Without diability,Health insurance coverage,No child,White alone,125000
18,Grade 11,Male,Without diability,Health insurance coverage,No child,White alone,0
79,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,26800
54,"Grade 12, no diploma no diploma",Female,Without diability,Health insurance coverage,No child,White alone,28000
68,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,22600
68,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,13200
46,Bachelor's degree,Female,With disability,No health insurance coverage,No child,White alone,4600
52,"One or more year college, no diploma",Male,With disability,No health insurance coverage,No child,White alone,12200
22,"College, less than 1 year",Male,Without diability,Health insurance coverage,No child,White alone,11500
77,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,20000
80,Regular high school diploma,Female,With disability,Health insurance coverage,No child,White alone,31000
51,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,50000
49,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,55000
15,Grade 9,Male,Without diability,No health insurance coverage,Have child,White alone,0
74,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,36000
37,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,25000
57,Grade 10,Male,Without diability,No health insurance coverage,No child,White alone,94000
60,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,28000
54,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,28000
64,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,American Indian alone,53200
18,Grade 11,Male,Without diability,Health insurance coverage,No child,American Indian alone,1200
38,Associate's degree,Male,Without diability,Health insurance coverage,No child,White alone,50000
37,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,Asian alone,24000
42,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,48050
43,Regular high school diploma,Male,With disability,Health insurance coverage,No child,White alone,32900
20,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,26000
25,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,8000
52,Grade 9,Male,Without diability,No health insurance coverage,No child,White alone,72000
36,Grade 10,Female,Without diability,No health insurance coverage,No child,White alone,0
35,"College, less than 1 year",Male,Without diability,No health insurance coverage,No child,White alone,10000
35,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,25000
58,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,29350
58,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,50000
58,"College, less than 1 year",Female,Without diability,Health insurance coverage,No child,White alone,12000
61,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,39000
59,"College, less than 1 year",Female,Without diability,Health insurance coverage,No child,White alone,29870
67,"One or more year college, no diploma",Male,With disability,Health insurance coverage,No child,White alone,1500
65,Master's degree,Female,With disability,Health insurance coverage,No child,White alone,31900
67,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,33500
70,Grade 10,Male,Without diability,Health insurance coverage,No child,White alone,55800
36,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,95000
31,"College, less than 1 year",Female,Without diability,Health insurance coverage,No child,White alone,30000
80,Bachelor's degree,Male,With disability,Health insurance coverage,No child,White alone,28620
46,Bachelor's degree,Female,Without diability,No health insurance coverage,No child,White alone,3600
75,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,77000
72,"College, less than 1 year",Male,Without diability,Health insurance coverage,No child,White alone,222400
74,Associate's degree,Male,With disability,Health insurance coverage,No child,White alone,123700
74,Regular high school diploma,Female,With disability,Health insurance coverage,No child,White alone,12870
20,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,10000
37,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,48000
60,"College, less than 1 year",Female,With disability,Health insurance coverage,No child,White alone,35000
62,Associate's degree,Male,Without diability,Health insurance coverage,No child,White alone,65500
60,"College, less than 1 year",Female,With disability,Health insurance coverage,No child,White alone,0
27,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,47500
28,Master's degree,Male,Without diability,Health insurance coverage,No child,White alone,30000
60,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,35220
59,GED or alternative,Female,With disability,Health insurance coverage,No child,White alone,12400
51,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,93470
60,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,0
66,Associate's degree,Male,Without diability,Health insurance coverage,No child,American Indian alone,33300
29,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,American Indian alone,27400
29,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,57000
36,Associate's degree,Male,With disability,Health insurance coverage,No child,White alone,24200
70,Professional degree beyond college,Male,Without diability,Health insurance coverage,No child,White alone,207000
70,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,205000
65,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,26700
66,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,27900
67,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,68050
68,Doctorate degree,Female,Without diability,Health insurance coverage,No child,White alone,73000
57,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,46000
33,"One or more year college, no diploma",Female,Without diability,No health insurance coverage,No child,White alone,44000
