"","Mobility","Employment","Sex","Education","Disability","Health_insurance","Own_child","Race","Total_person_income"
"1",3,1,1,18,2,1,0,1,5000
"2",1,6,2,16,1,1,0,1,18700
"3",1,1,2,22,2,1,0,1,68000
"4",1,1,1,18,2,1,0,1,60000
"5",1,6,1,16,2,1,0,1,44920
"6",1,6,2,16,2,1,0,1,10400
"7",1,6,2,16,2,1,0,1,12100
"8",1,3,2,18,2,2,0,1,4000
"9",1,1,1,16,2,1,0,1,125000
"10",1,3,2,21,2,1,0,1,9300
"11",1,6,1,22,1,1,0,1,63700
"12",1,1,1,21,2,1,0,1,25820
"13",1,1,2,22,2,1,0,1,50000
"14",1,1,2,20,2,1,0,1,160
"15",1,6,1,20,1,1,0,1,64000
"16",1,1,2,20,2,1,0,1,50000
"17",1,1,1,21,2,1,0,1,60000
"18",1,1,2,20,2,1,0,1,35000
"19",1,1,2,21,2,1,0,1,33000
"20",1,1,1,21,2,1,0,1,50000
"21",1,1,1,16,2,1,0,1,35800
"22",1,1,2,21,2,1,0,1,65000
"23",1,1,2,21,2,2,0,1,19800
"24",1,6,1,20,2,1,0,1,87000
"25",1,6,2,20,2,1,0,1,25200
"26",1,1,2,19,2,1,0,1,49600
"27",1,1,1,21,2,1,0,1,136000
"28",1,6,2,18,2,1,0,1,17500
"29",1,1,1,23,2,1,0,1,130030
"30",1,1,2,23,2,1,0,1,125000
"31",1,6,2,19,2,1,0,1,26800
"32",1,1,2,15,2,1,0,1,28000
"33",1,6,1,16,2,1,0,1,22600
"34",1,6,2,16,2,1,0,1,13200
"35",1,6,2,21,1,2,0,1,4600
"36",1,1,1,19,1,2,0,1,12200
"37",1,3,1,18,2,1,0,1,11500
"38",1,6,1,21,2,1,0,1,20000
"39",1,6,2,16,1,1,0,1,31000
"40",1,1,1,21,2,1,0,1,50000
"41",1,1,2,16,2,1,0,1,55000
"42",1,6,2,20,2,1,0,1,36000
"43",3,1,2,16,2,1,0,1,25000
"44",1,1,1,13,2,2,0,1,94000
"45",1,1,1,16,2,1,0,1,28000
"46",1,1,2,16,2,1,0,1,28000
"47",1,1,2,16,2,1,0,3,53200
"48",1,6,1,14,2,1,0,3,1200
"49",3,1,1,20,2,1,0,1,50000
"50",3,1,2,21,2,1,0,6,24000
"51",1,1,2,22,2,1,0,1,48050
"52",1,1,1,16,1,1,0,1,32900
"53",1,1,1,16,2,1,0,1,26000
"54",1,1,2,21,2,1,0,1,8000
"55",1,1,1,12,2,2,0,1,72000
"56",1,1,1,18,2,2,0,1,10000
"57",3,1,2,22,2,1,0,1,25000
"58",1,1,1,16,2,1,0,1,29350
"59",1,1,1,19,2,1,0,1,50000
"60",1,1,2,18,2,1,0,1,12000
"61",1,6,2,19,2,1,0,1,39000
"62",1,1,2,18,2,1,0,1,29870
"63",1,6,1,19,1,1,0,1,1500
"64",1,6,2,22,1,1,0,1,31900
"65",1,6,2,19,2,1,0,1,33500
"66",1,1,1,13,2,1,0,1,55800
"67",1,1,1,16,2,1,0,1,95000
"68",3,1,2,18,2,1,0,1,30000
"69",3,6,1,21,1,1,0,1,28620
"70",1,3,2,21,2,2,0,1,3600
"71",1,6,2,21,2,1,0,1,77000
"72",1,6,1,18,2,1,0,1,222400
"73",1,6,1,20,1,1,0,1,123700
"74",1,6,2,16,1,1,0,1,12870
"75",1,1,2,16,2,1,0,1,10000
"76",1,1,1,16,2,1,0,1,48000
"77",3,1,2,18,1,1,0,1,35000
"78",1,1,1,20,2,1,0,1,65500
"79",3,1,2,21,2,1,0,1,47500
"80",3,1,1,22,2,1,0,1,30000
