"","Mobility","Employment","Sex","Education","Disability","Health_insurance","Own_child","Race","Total_person_income"
"3591",1,1,2,20,2,1,0,1,7000
"721",1,1,2,21,2,1,0,1,35000
"1863",1,6,1,19,2,1,0,1,28900
"1620",1,6,1,17,2,1,0,1,25700
"1068",1,1,1,19,1,1,0,1,99220
"4827",3,1,2,20,2,1,0,1,25000
"885",1,1,1,16,2,1,0,1,20000
"4173",1,1,1,15,2,1,0,1,23000
"4812",1,1,2,16,2,2,0,6,7200
"568",3,6,2,21,2,1,0,1,7800
"4378",1,6,1,14,1,1,0,1,27000
"611",1,1,2,20,1,1,0,1,9000
"2853",1,1,1,16,2,1,0,1,54000
"2404",1,1,2,21,2,1,0,1,50000
"1203",1,1,1,17,2,1,0,1,30000
"516",1,1,2,17,2,1,0,1,11000
"1011",1,6,2,22,2,1,0,1,5000
"3486",1,6,1,19,1,1,0,1,11100
"3029",1,1,2,19,2,1,0,1,40000
"3461",1,1,1,19,2,1,0,1,31800
"2094",3,2,2,20,2,1,0,1,60000
"2977",1,1,2,18,2,1,0,1,18000
"4765",1,1,1,20,2,1,0,1,150000
"2827",1,6,2,19,2,2,0,1,4000
"150",1,6,2,16,1,1,0,1,47000
"3030",1,1,2,19,2,1,0,1,37000
"5301",1,1,2,16,2,1,0,1,18000
"1431",3,1,2,19,1,1,0,1,58000
"3965",1,3,2,19,2,1,0,1,4500
"4094",1,6,2,16,1,1,0,1,10700
"1133",1,6,1,11,1,1,0,1,22000
"696",1,1,1,21,2,1,0,1,118100
"5417",3,1,1,18,2,1,0,1,40000
"2942",1,1,1,21,1,1,0,1,24000
"3527",1,1,1,23,2,1,0,1,460010
"3504",1,1,1,14,2,1,0,1,460000
"5271",1,6,1,23,1,1,0,1,44900
"907",3,1,1,21,2,1,0,1,57200
"4841",1,1,1,18,2,1,0,1,45000
"4054",1,6,2,17,2,1,0,1,5200
"236",1,3,1,20,2,2,0,1,4800
"2605",1,6,1,17,1,1,0,1,53900
"4939",3,1,1,20,2,2,0,1,39000
"1858",1,6,1,20,2,1,0,1,37000
"4745",1,6,1,19,2,1,0,1,14000
"2307",1,1,2,14,2,1,1,1,250
"2450",1,1,2,18,2,1,0,1,10000
"4494",1,1,2,21,2,1,0,1,60000
"5307",1,6,1,23,1,1,0,1,41100
"1411",1,1,2,14,2,1,0,1,5700
"2967",1,1,2,21,2,1,0,1,50000
"3768",1,6,2,16,2,1,0,1,8000
"5156",1,1,2,24,2,1,0,1,100000
"1605",1,6,1,12,2,1,0,1,26900
"504",1,6,1,24,1,1,0,1,110300
"1958",1,1,2,22,2,1,0,1,67000
"1940",1,1,1,20,2,1,0,1,242000
"454",3,6,2,19,2,1,0,1,8000
"1156",1,6,2,21,2,1,0,1,10000
"5477",1,1,2,19,2,2,0,1,52000
"147",3,6,1,11,2,2,0,1,10600
"3150",1,1,2,22,2,1,0,1,60000
"4180",1,1,2,13,2,1,0,1,42900
"199",3,1,2,21,2,1,0,1,28000
"866",1,1,2,21,1,1,0,1,246000
"74",1,1,2,21,2,1,0,1,8000
"2296",1,1,2,19,2,1,0,1,70000
"1395",1,1,1,16,2,2,0,1,25510
"982",1,6,2,17,1,2,0,3,1600
"2519",1,6,1,23,2,1,0,1,72420
"5673",1,1,1,19,2,1,0,9,32010
"782",1,1,2,17,2,2,0,1,25000
"2619",3,1,2,22,2,1,0,1,33000
"4316",3,1,2,20,2,1,0,1,10000
"4945",1,3,1,19,2,1,0,1,12000
"3329",1,6,1,21,1,1,0,1,11700
"2730",1,6,2,19,1,1,0,3,12900
"2831",3,1,2,19,2,1,0,1,52000
"4597",1,6,2,16,1,1,0,1,12000
"2281",1,6,2,22,2,1,0,1,30000
"3666",1,1,2,19,1,1,0,1,22000
"4668",1,1,1,21,2,2,0,1,45000
"3067",1,1,1,19,2,2,0,1,88000
"4767",1,1,1,20,2,1,0,1,70000
"3750",1,1,2,17,2,1,0,1,32500
"4913",1,1,2,18,2,1,0,6,25500
"2800",1,1,2,22,2,1,0,1,50000
"5568",1,1,1,21,2,1,0,1,110000
"1015",1,6,2,14,1,1,0,1,2180
"3161",1,1,1,16,2,1,0,1,42000
"5315",1,6,2,21,2,1,0,1,30000
"5178",3,1,1,17,2,1,0,5,30000
"3526",1,6,2,21,2,1,0,1,10
"3866",1,1,1,18,2,1,0,1,243800
"3490",3,1,1,17,1,2,0,1,5300
"5720",1,6,1,19,1,1,0,1,4900
"2858",1,1,2,21,2,1,0,1,46500
"3814",1,1,1,19,1,1,0,1,5600
"188",1,1,1,16,2,1,0,1,48000
"4440",1,1,1,16,2,1,0,1,100000
"3659",1,6,2,16,2,1,0,1,2200
"2491",3,1,2,19,2,1,0,1,32400
"2133",1,3,1,18,2,1,0,1,20000
"786",1,1,2,19,2,1,0,1,70200
"3009",1,1,2,16,2,1,0,1,25400
"176",1,6,1,21,1,1,0,1,35000
"275",1,1,1,14,2,1,0,1,4000
"3545",1,1,2,20,2,1,0,1,36000
"4629",1,6,2,21,1,1,0,1,10800
"2631",1,1,1,20,2,1,0,1,50000
"1978",1,6,1,16,1,1,0,1,12000
"5143",1,6,2,20,2,1,0,1,33000
"1895",1,1,1,14,2,2,1,3,18500
"2177",1,1,2,17,2,1,0,1,63000
"4973",1,6,1,20,2,1,0,1,7000
"5561",1,6,1,20,2,1,0,1,14500
"2488",1,1,1,16,2,1,0,1,60000
"2061",1,2,1,19,2,1,0,1,10400
"3551",1,1,1,16,2,1,0,1,32000
"3761",1,1,2,16,2,1,0,1,20000
"465",1,1,1,16,2,1,0,1,45000
"3431",1,1,2,22,2,1,0,1,46000
"92",3,1,2,18,2,1,0,1,30000
"2861",1,6,1,21,1,1,0,1,15000
"3583",1,1,1,21,2,1,0,1,75200
"896",1,6,1,10,1,1,0,3,27000
"5584",1,1,2,24,2,1,0,1,104000
"1772",1,1,2,21,2,1,0,1,40400
"97",1,6,1,18,2,1,0,1,222400
"4069",1,1,1,11,2,1,0,8,90000
"5434",3,1,1,17,2,2,0,8,45000
"201",1,1,2,22,2,1,0,1,85000
"1568",1,1,1,16,2,1,0,1,38000
"4260",1,6,1,21,2,1,0,1,13800
"755",1,6,1,23,2,1,0,6,79100
"5294",1,1,1,21,2,2,0,1,63300
"5410",1,6,1,19,2,1,0,1,90200
"2639",1,1,2,14,2,1,0,1,3000
"5120",3,1,1,20,2,1,0,1,88000
"600",1,1,1,16,2,2,0,1,35300
"350",1,1,2,18,2,1,0,1,27300
"1362",1,6,2,21,2,1,0,1,35000
"4488",2,1,2,20,2,1,0,2,31000
"3428",1,1,2,19,2,1,0,1,11340
"1274",1,1,2,16,2,1,0,1,57000
"1777",1,1,1,19,2,1,0,1,7000
"2517",1,6,2,18,2,1,0,1,25620
"4546",1,1,1,22,2,1,0,1,58400
"1512",1,1,2,21,2,1,0,1,80000
"5212",1,3,1,18,2,2,0,1,40000
"2444",1,1,2,22,2,1,0,1,125000
"2792",1,6,2,18,2,1,0,1,38000
"4118",1,1,2,21,2,1,0,1,46100
"3542",1,1,1,22,2,1,0,1,75000
"3303",1,1,2,14,2,2,0,1,22000
"4240",1,1,2,21,2,1,0,1,44000
"2507",1,1,1,22,2,1,0,1,65200
"2811",1,1,1,18,2,1,0,1,120000
