"epochs","BARTMean","BARTsd","MIMean","MIsd","GPMean","GPsd","actual"
1,0.0184138030168962,0.00107993738927406,0.029169847133594,NA,0.0105661119520344,0.854343035050896,0.37879
2,0.0187999534814335,0.00122560298715014,0.00333600976024362,0.000478130802233456,0.0121607028778744,0.854349060939664,0.37879
3,0.0186507477506335,0.000901800462348149,0.031901676185978,0.048308124958502,0.0163729267705578,0.854349128656862,0.37879
4,0.0185097933489929,0.00105547998638925,0.00354065134333066,0.00206530533951119,0.0161517404284673,0.854349133214863,0.37879
5,0.0185088566163928,0.00106330101569468,0.00327469235172224,0.0022566276908792,0.0162720143182645,0.854349143714385,0.37879
6,0.0184542700357703,0.000889436233277725,0.00619145305297142,0.0034330894608117,0.0172778960572787,0.854349149487933,0.37879
7,0.0182372405410917,0.000806776439123955,0.00308055957405533,0.00187319377985526,0.0179534284170136,0.854349153852715,0.37879
8,0.0187715501675782,0.000909775774317739,0.0121224491434581,0.0140093763310561,0.0187782245894145,0.854349159574015,0.37879
9,0.0181838107949466,0.000853303196736504,0.00719846395776377,0.00617370127839861,0.018208866811607,0.854349160341711,0.37879
10,0.0184840543748659,0.000874357738137292,0.0124069695206425,0.0127663887601817,0.0191267221687973,0.854349161705732,0.37879
