epochs,BARTMean,BARTsd,MIMean,MIsd,GPMean,GPsd,actual,runtimeBART,runtimeMI,runtimeGP
1,0.1650014,0.001060934,0.034189012,NA,0.14398929,0.439594182,0.159409316,7407.36,0.144,0
2,0.159530616,0.002161496,0.362253874,0.207669636,0.121977017,0.443897779,0.159409316,7407.36,0.144,0
3,0.160581417,0.002576986,0.250681146,0.244952557,0.137708349,0.446320548,0.159409316,7407.36,0.144,0
4,0.157999463,0.001780162,0.197952159,0.346432609,0.13498455,0.447793407,0.159409316,7407.36,0.144,0
5,0.164475941,0.001277495,0.19968576,0.318241529,0.13773367,0.448725924,0.159409316,7407.36,0.144,0
6,0.15750129,0.003176924,-0.016401471,0.209742909,0.133388672,0.449575264,0.159409316,7407.36,0.144,0
7,0.161179549,0.001935843,0.156081296,0.242571604,0.137056263,0.450094867,0.159409316,7407.36,0.144,0
8,0.159341109,0.002453327,0.234783859,0.296389963,0.141201243,0.450539249,0.159409316,7407.36,0.144,0
9,0.166028962,0.002279337,0.286074021,0.157091744,0.140822702,0.450995035,0.159409316,7407.36,0.144,0
10,0.159035003,0.003631725,0.129125052,0.278754668,0.139568385,0.451366565,0.159409316,7407.36,0.144,0
11,0.162548695,0.002928854,0.202256988,0.213316703,0.141370197,0.45174604,0.159409316,7407.36,0.144,0
12,0.163777293,0.002746015,0.186917385,0.34632181,0.142565297,0.452274689,0.159409316,7407.36,0.144,0
13,0.173266294,0.001486401,0.225646611,0.334118954,0.140175373,0.452508641,0.159409316,7407.36,0.144,0
14,0.156936326,0.001389461,0.120377029,0.294148111,0.140745137,0.452688915,0.159409316,7407.36,0.144,0
15,0.167580141,0.001906915,0.092958658,0.345413214,0.141005916,0.452834917,0.159409316,7407.36,0.144,0
16,0.158635975,0.001172107,0.175270733,0.257444765,0.139871486,0.452974645,0.159409316,7407.36,0.144,0
17,0.164229739,0.001862071,0.2523842,0.300887988,0.142169689,0.453126008,0.159409316,7407.36,0.144,0
