"epochs","GPMean","GPVariance","runtimeGP"
1,-4219.16725425503,7444.69250836013,3.539
2,-9668.35978241906,-39682.8050662245,3.539
3,5230.16911154812,-65309.2438195666,3.539
4,13557.2903602329,-83657.9544602013,3.539
5,10017.2485091122,-99220.3499949194,3.539
6,-8583.31167388708,-112961.965475125,3.539
7,11348.0493585618,-140237.137610732,3.539
8,-5097.33475466247,-160096.775155632,3.539
9,-8883.17572873405,-178435.259799465,3.539
10,-12462.0657320746,-196551.423235634,3.539
11,905.230483728295,-225484.742483431,3.539
12,-7302.27353376108,-242600.958503123,3.539
13,2099.63265247215,-270810.438334493,3.539
14,5000.18633870305,-285663.70577578,3.539
15,2665.71362230309,-307928.103270493,3.539
16,9406.80662526185,-323149.598197081,3.539
17,10394.2434029279,-338399.219222946,3.539
18,11210.6954261231,-358851.40931452,3.539
19,7677.40497247646,-374981.263193149,3.539
20,11764.776685734,-396862.219986493,3.539
21,6706.89350347669,-415359.649145953,3.539
22,5318.12361136736,-430793.082409354,3.539
23,11384.9329138928,-458514.482303887,3.539
24,6801.10718778266,-476633.471453175,3.539
25,9854.78852446681,-499422.766343198,3.539
26,8405.56144230179,-522364.23226752,3.539
27,8953.2810458635,-543725.315945892,3.539
28,15726.5471488509,-564492.669995962,3.539
29,15473.8354964967,-586517.081708115,3.539
30,10973.3092626966,-607144.584719492,3.539
31,12905.4362398931,-627435.368159865,3.539
32,11201.7214270243,-649291.407178615,3.539
33,9557.98368456759,-664498.227833592,3.539
34,4043.5430315329,-685138.502656139,3.539
35,6938.98322342935,-708590.135549363,3.539
36,3102.1673602123,-731157.24254603,3.539
37,264.413152887924,-752130.210594794,3.539
38,-2916.57008592366,-770277.388890205,3.539
39,-1649.12564368389,-789930.906103364,3.539
40,-8946.1388378624,-807581.928011106,3.539
41,-10066.7894054326,-827594.911508215,3.539
42,-7970.474129724,-845252.685073268,3.539
43,-6025.0083544917,-865473.765434243,3.539
44,-6469.8805215283,-886534.929588163,3.539
45,-9431.01373479509,-901678.478613213,3.539
46,-12156.567535629,-919209.242208982,3.539
47,-11455.0941011947,-939403.334390725,3.539
48,-14409.0591515495,-959180.031635124,3.539
49,-16759.9956958872,-979980.043356583,3.539
50,-18240.024362468,-1001884.35083067,3.539
