"","Methods","1","2","3","5","10","20"
"cont","True","0.0133","0.0114","0.0385","0.24","0.689","0.911"
"cont","BART","0.0146","0.00863","0.0368","0.241","0.689","0.911"
"cont","MI","0.00827","0.0107","0.0409","0.233","0.689","0.911"
"cont","GP","0.0046","0.0123","0.0384","0.242","0.688","0.894"
"copeak","True","0.00166","8.71e-05","1.4e-05","2.09e-06","1.2e-06","1.67e-05"
"copeak","BART","0.00283","-0.000103","0.000105","9.69e-07","9.12e-07","1.67e-05"
"copeak","MI","0.00177","0.000107","2.18e-05","1.18e-06","1.25e-06","1.65e-05"
"copeak","GP","0.000183","2.65e-05","6.79e-06","1.62e-06","1.22e-06","1.6e-05"
"disc","True",NA,"1710","22.5","1.36","0.393","0.282"
"disc","BART",NA,"2090","25.3","1.36","0.394","0.284"
"disc","MI",NA,"2120","20.4","1.25","0.42","0.27"
"disc","GP",NA,"1170","11.6","1.46","0.435","0.264"
"gaussian","True","0.0177","0.00503","0.00406","0.0167","0.447","0.901"
"gaussian","BART","0.0236","0.004","0.00294","0.0158","0.448","0.902"
"gaussian","MI","0.0251","0.0057","0.00112","0.0214","0.44","0.901"
"gaussian","GP","0.0139","0.00268","0.0108","0.0231","0.446","0.886"
"oscil","True","0.000402","-0.000754","-0.000488","-0.0892","0.159","-0.814"
"oscil","BART","-0.0176","0.00645","-0.0255","-0.126","0.158","-0.814"
"oscil","MI","0.0122","-0.0304","0.0413","-0.0649","0.138","-0.812"
"oscil","GP","0.0602","-0.000812","-0.0141","-0.0899","0.159","-0.799"
"prpeak","True","1880","53600","285000","183000","2.74e-05","9.96e-46"
"prpeak","BART","3050","108000","312000","186000","2.74e-05","9.96e-46"
"prpeak","MI","4040","64600","345000","172000","2.73e-05","9.96e-46"
"prpeak","GP","299","13800","269000","190000","2.74e-05","9.77e-46"
