"","Methods","1","2","3","5","10","20"
"cont","True","0.0133","0.0114","0.0385","0.24","0.689","0.911"
"cont","BART","0.0537","0.00849","0.0496","0.238","0.692","0.909"
"cont","MI","0.00247","0.00467","0.0404","0.257","0.693","0.911"
"cont","GP","0.0475","0.00641","0.0489","0.234","0.689","0.904"
"copeak","True","0.00166","8.71e-05","1.4e-05","2.09e-06","1.2e-06","1.67e-05"
"copeak","BART","0.000554","5.24e-05","4.33e-06","1.12e-06","1.71e-06","2.22e-05"
"copeak","MI","0.000135","0.000294","6.43e-05","7.25e-07","9.96e-07","9.38e-06"
"copeak","GP","0.0178","0.00317","5.85e-05","6.87e-06","1.24e-06","1.8e-05"
"disc","True",NA,NA,NA,NA,NA,NA
"disc","BART",NA,NA,NA,NA,NA,NA
"disc","MI",NA,NA,NA,NA,NA,NA
"disc","GP",NA,NA,NA,NA,NA,NA
"gaussian","True","0.0177","0.00503","0.00406","0.0167","0.447","0.901"
"gaussian","BART","0.0339","0.0108","0.00799","0.0278","0.453","0.902"
"gaussian","MI","0.0189","0.00761","0.000872","0.0377","0.434","0.897"
"gaussian","GP","0.0458","0.0142","0.00539","0.0214","0.446","0.891"
"oscil","True","0.000402","-0.000754","-0.000488","-0.0892","0.159","-0.814"
"oscil","BART","-0.0768","0.0463","-0.0109","-0.0654","0.167","-0.817"
"oscil","MI","0.0363","-0.00318","-0.108","0.00925","0.105","-0.827"
"oscil","GP","-0.0022","0.067","-0.00792","-0.129","0.147","-0.813"
"prpeak","True","1880","53600","285000","183000","2.74e-05","9.96e-46"
"prpeak","BART","10000","15200","634000","189000","2.71e-05","9.96e-46"
"prpeak","MI","180","19100","120000","255000","2.74e-05","9.96e-46"
"prpeak","GP","4240","11000","236000","178000","2.64e-05","9.95e-46"
"step","True","0.5","0.5","0.5","0.5","0.5","0.5"
"step","BART","0.497","0.504","0.496","0.5","0.505","0.492"
"step","MI","0.44","0.52","0.42","0.5","0.52","0.42"
"step","GP","0.498","0.517","0.527","0.471","0.509","0.499"
