"","Methods","1","2","3","5","10","20"
"cont","BART","0.00612","0.000708","0.00218","0.000907","0.000412","0.000362"
"cont","MI","0.00124","0.00264","0.00397","0.00728","0.000911","0.000397"
"cont","GP","0.281","0.0384","0.00352","0.00387","0.00081","0.00024"
"copeak","BART","0.000771","2.13e-05","1.34e-06","7.72e-07","2.39e-08","1.22e-06"
"copeak","MI","0.000158","5.04e-06","1.09e-05","7.36e-07","4.45e-07","2.7e-07"
"copeak","GP","0.0291","0.000356","0.000124","1.06e-05","3.38e-07","3.12e-06"
"disc","BART",NA,NA,NA,NA,NA,NA
"disc","MI",NA,NA,NA,NA,NA,NA
"disc","GP",NA,NA,NA,NA,NA,NA
"gaussian","BART","0.00234","0.00613","0.00107","4.82e-05","0.000487","0.000178"
"gaussian","MI","0.00781","0.00237","0.002","0.0028","0.0069","0.00122"
"gaussian","GP","0.351","0.067","0.0148","0.00887","0.00712","0.00142"
"oscil","BART","0.0289","0.0196","0.00109","0.00343","0.00288","0.000277"
"oscil","MI","0.0298","0.0233","0.0118","0.0222","0.0179","0.00364"
"oscil","GP","0.0332","0.226","0.124","0.00324","0.00683","0.00244"
"prpeak","BART","1870","20700","20800","16200","2.73e-08","2.12e-50"
"prpeak","MI","85.9","1340","91100","7470","4.17e-08","1.87e-50"
"prpeak","GP","468","17000","48500","2950","3e-07","3.09e-49"
"step","BART","0.000806","0.00196","0.000199","0.000955","0.0012","0.000289"
"step","MI","0.014","0.034","0.024","0","0.014","0.036"
"step","GP","0.0222","0.00969","0.00846","0.00487","0.00299","0.0837"
