"","Methods","1","2","3","5","10","20"
"cont","BART","0.0403","0.00288","0.0111","0.00271","0.00285","0.00172"
"cont","MI","0.0109","0.0067","0.0019","0.0167","0.00385","0.000866"
"cont","GP","0.0341","0.00496","0.0104","0.00631","0.000216","0.00706"
"copeak","BART","0.00111","3.47e-05","9.67e-06","9.7e-07","5.08e-07","5.49e-06"
"copeak","MI","0.00153","0.000207","5.03e-05","1.37e-06","2.04e-07","7.36e-06"
"copeak","GP","0.0162","0.00309","4.45e-05","4.78e-06","3.86e-08","1.22e-06"
"disc","BART",NA,NA,NA,NA,NA,NA
"disc","MI",NA,NA,NA,NA,NA,NA
"disc","GP",NA,NA,NA,NA,NA,NA
"gaussian","BART","0.0162","0.00576","0.00393","0.0111","0.00652","0.000789"
"gaussian","MI","0.0012","0.00259","0.00319","0.0211","0.0127","0.00402"
"gaussian","GP","0.0281","0.00915","0.00133","0.0047","0.000236","0.0104"
"oscil","BART","0.0772","0.0471","0.0104","0.0238","0.00726","0.00264"
"oscil","MI","0.0359","0.00243","0.108","0.0985","0.0546","0.0125"
"oscil","GP","0.0026","0.0677","0.00743","0.0395","0.0119","0.00126"
"prpeak","BART","8170","38500","349000","5200","2.84e-07","1.44e-49"
"prpeak","MI","1700","34500","165000","71400","3.09e-08","2.25e-50"
"prpeak","GP","2360","42600","49200","5240","1.02e-06","1.11e-48"
"step","BART","0.00309","0.00425","0.00364","0.000441","0.00464","0.00842"
"step","MI","0.06","0.02","0.08","0","0.02","0.08"
"step","GP","0.00211","0.0169","0.0271","0.0288","0.00905","0.00114"
