"epochs","BARTMean","BARTsd","MIMean","MIsd","BRmean","BRsd","PoptMean"
1,8.96768388931726,1.65048436433524,9.06765039762744,1.61112501466427,9.0868963825244,1.63320902933659,9.30154522796447
2,8.98275648445138,1.6337098946555,9.00309036837001,1.64716263683743,9.07709909912928,1.61492733999754,9.30154522796447
3,8.96470949899667,1.61903322635465,9.03728839452955,1.64362604697921,9.11188825420559,1.61263508880017,9.30154522796447
4,8.9426596438184,1.60734972145166,9.03947347077956,1.62490724675523,9.0849797830453,1.6043910151521,9.30154522796447
5,8.99387343100187,1.62690245029843,9.05733495698087,1.61131164191322,9.05271723253436,1.60148340041045,9.30154522796447
6,9.01232509919417,1.61408612264936,9.04213293245514,1.59710523381087,9.08622125719879,1.60054743491041,9.30154522796447
7,9.0434808996149,1.61134585877122,9.02435285312158,1.58481805061209,9.10058444311186,1.58655260896418,9.30154522796447
8,9.07300501367553,1.60781064278704,9.0707638939611,1.60152037112935,9.10112269453891,1.56994355601998,9.30154522796447
9,9.07425724991762,1.59134447624104,9.04879793640137,1.59268591663319,9.10521325168374,1.55411033626997,9.30154522796447
10,9.10432714545819,1.58991944032723,9.0490081235747,1.57667933124396,9.13445681014281,1.5526004733459,9.30154522796447
11,9.10346542116556,1.57426709140342,9.04163514420854,1.56205025267378,9.08531824094795,1.577612542167,9.30154522796447
12,9.10728023495075,1.55930376572172,9.07118583813832,1.56184499935247,9.0953274341392,1.5640678899966,9.30154522796447
13,9.09312393067891,1.5480225711265,9.0495158606171,1.55521442037822,NA,NA,9.30154522796447
14,9.12292239321388,1.5494624057877,9.02317743514301,1.55307936012288,NA,NA,9.30154522796447
15,9.1492386849975,1.54789045743523,9.04589801023532,1.54825983547231,NA,NA,9.30154522796447
16,9.14075402730516,1.5353446446995,9.07364377131475,1.5486068457111,NA,NA,9.30154522796447
17,9.15170058167966,1.5240988491021,9.10445888263245,1.55279905226862,NA,NA,9.30154522796447
18,9.12541586774513,1.52433263370979,9.12564709092506,1.54793417605624,NA,NA,9.30154522796447
19,9.10500905414925,1.51960303358295,9.15876043771586,1.55604561935709,NA,NA,9.30154522796447
20,9.12996638755275,1.51944127931093,9.15444681787029,1.54339184362934,NA,NA,9.30154522796447
21,9.14876579485532,1.51418827398936,9.16544410795049,1.53313618106166,NA,NA,9.30154522796447
22,9.15967869974401,1.50442307689577,9.16647107447941,1.52074376451577,NA,NA,9.30154522796447
23,9.15555293298452,1.49280038190848,9.17598956051921,1.51054665070823,NA,NA,9.30154522796447
24,9.18565900937511,1.50084903695422,9.19156920566152,1.50395344641908,NA,NA,9.30154522796447
25,9.18633300922204,1.48926936176846,9.19059025956115,1.49236092394098,NA,NA,9.30154522796447
26,9.21132684830442,1.49203642647164,9.14617261536505,1.52498612503146,NA,NA,9.30154522796447
27,9.1672574549238,1.52479828737444,9.16949418528766,1.52573175711535,NA,NA,9.30154522796447
28,9.18446478415528,1.52027920353779,9.17146746596146,1.51456029012267,NA,NA,9.30154522796447
