"epochs","BARTMean","BARTsd","MIMean","MIsd","BRSMean","BRSsd","PoptMean"
1,46168.4315444519,2773.39632925079,41899.1891891892,4557.88372720689,44466.7567567568,5021.8452730658,47916.4753747323
2,45666.8986699422,2508.51181310236,41099.2105263158,4508.1931805697,43956.0526315789,4913.45436796492,47916.4753747323
3,45946.0369816208,2216.50635461126,40430,4441.60269357072,44111.0256410256,4786.72831661972,47916.4753747323
4,45565.980409,2851.3421008319,40099.25,4340.65911469297,44508.25,4681.30874117946,47916.4753747323
5,45561.2647361376,2986.94445371491,41462.6829268293,4451.56763152586,44764.1463414634,4571.62286523629,47916.4753747323
6,46053.1203383616,2512.25463393588,42499.2857142857,4467.92349088338,44091.1904761905,4511.8271728999,47916.4753747323
7,45580.4038139491,3272.44311759434,42348.1395348837,4364.22482299524,43996.0465116279,4405.45470921659,47916.4753747323
8,45820.1069392513,2459.98069893864,41708.4090909091,4311.57164790046,43814.3181818182,4306.92718588354,47916.4753747323
9,44508.2506534761,2209.72464854781,40926,4287.23044354197,44396.2222222222,4249.9819553444,47916.4753747323
10,44954.7493716147,2489.17606192745,40986.3043478261,4192.40203235077,44602.8260869565,4160.78466796109,47916.4753747323
11,44643.2915641271,2619.49092598941,41412.1276595745,4123.78762542401,44292.1276595745,4082.43081911166,47916.4753747323
12,44245.9283854263,2809.2840644504,41382.7083333333,4036.15696382468,45036.0416666667,4065.68161817099,47916.4753747323
13,44721.2477505947,2654.43534776032,40701.4285714286,4011.56725918936,44729.1836734694,3993.03451507816,47916.4753747323
14,44879.291967564,2152.5990188023,41387.4,3990.32462502462,43930.6,3993.86122456071,47916.4753747323
15,44669.1590987401,2679.29918724819,40899.4117647059,3941.45242682709,43504.5098039216,3937.56963939662,47916.4753747323
16,44400.1950579931,3032.28823326414,40785.9615384615,3865.86675156288,43821.7307692308,3873.62879680695,47916.4753747323
17,44011.1998221514,2730.4749919008,40701.320754717,3792.48595342595,43398.679245283,3823.06790779907,47916.4753747323
18,44249.2756853378,2476.09662826504,40817.962962963,3722.79187007713,43415.3703703704,3750.97238811319,47916.4753747323
19,43137.5115844694,2545.50974430807,40439.4545454545,3673.7652238969,42898.7272727273,3718.24938208694,47916.4753747323
20,43873.8655901469,2573.34599412447,39806.6071428571,3663.05971800061,42907.6785714286,3650.65602157194,47916.4753747323
21,42909.8745271801,2914.10429299208,40704.7368421053,3710.0015995897,43382.9824561404,3617.39028828274,47916.4753747323
22,43249.3837528785,2640.79463904038,40192.5862068966,3681.34445378342,42646.3793103448,3630.77160869442,47916.4753747323
23,43483.2498654878,3202.41183780394,39636.7796610169,3661.04522868931,42189.6610169492,3597.78266836413,47916.4753747323
24,44664.3855613571,2437.85613979783,39126.1666666667,3635.64296194226,42903.1666666667,3609.25152244007,47916.4753747323
25,45239.2411626725,2111.82306178706,39632.2950819672,3611.28926187989,42462.9508196721,3576.74596327337,47916.4753747323
26,45949.0659129784,1788.43870508313,39815.6451612903,3556.89416244361,43971.6129032258,3832.81583795841,47916.4753747323
27,47024.809638186,3351.61385172187,39977.3015873016,3503.31683335631,44241.9047619048,3780.82644243036,47916.4753747323
28,46592.2827839422,2334.93972258914,40596.40625,3503.72221442673,44972.5,3792.9795315002,47916.4753747323
29,45594.6896274331,2472.5634736164,40341.0769230769,3458.5619818896,44465.2307692308,3768.54940974587,47916.4753747323
30,45953.892757993,2350.46811207574,40702.5757575758,3424.78075701762,44594.5454545455,3712.85901852562,47916.4753747323
31,45393.0208944062,2470.65136836515,40766.7164179105,3373.50918941371,44525.9701492537,3657.25628804711,47916.4753747323
32,45344.1544532269,2923.30229090914,40755.4411764706,3323.17771947514,44606.4705882353,3603.58305864245,47916.4753747323
33,45175.247908232,2476.56692793413,40164.9275362319,3327.90079920911,44684.6376811594,3551.46217012588,47916.4753747323
34,44728.3028419717,2528.70540553149,46162.5714285714,6873.81257641447,45194.8571428571,3537.51871182909,47916.4753747323
35,44975.33788731,2895.87811458658,45806.7605633803,6785.08452649031,46051.2676056338,3592.06975711535,47916.4753747323
36,45129.0349724856,2349.57700738932,45748.3333333333,6689.77870035402,46245,3546.84674058944,47916.4753747323
37,44194.9908406554,2259.05427784223,46113.698630137,6607.11548988777,45810.1369863014,3524.88765851296,47916.4753747323
38,44252.1481992284,2125.41846498639,46152.7027027027,6516.72538264352,45840.4054054054,3476.73509194697,47916.4753747323
39,44292.4546665521,2534.41515930274,45952,6431.83604718831,45409.2,3457.11597017857,47916.4753747323
40,44869.011123054,2623.97292973736,46084.2105263158,6347.47364131073,46201.1842105263,3502.95119243877,47916.4753747323
41,43627.2471266149,3087.91688780596,45998.7012987013,6264.54554605266,46614.1558441558,3481.76230944254,47916.4753747323
42,43279.3046711425,2266.80718603382,46050,6183.40337091378,46734.4871794872,3438.6780283724,47916.4753747323
43,43200.9345126629,2647.28692632133,46163.2911392405,6105.19368233316,46598.6075949367,3397.34567240707,47916.4753747323
44,43219.4135798939,3022.75657321093,46148.75,6027.93051043089,46806.125,3360.83533011173,47916.4753747323
45,43621.7155776149,2595.44878992169,46432.0987654321,5959.40560615122,46857.9012345679,3319.23378637699,47916.4753747323
46,42889.7529486952,2525.87236246853,46134.1463414634,5893.46232572714,46505.9756097561,3297.32321757375,47916.4753747323
47,42873.8062845321,2397.1345406376,45939.7590361446,5824.87485466031,46210.7228915663,3270.6292329627,47916.4753747323
48,43037.1463073759,2276.52422756067,45805.9523809524,5756.26978504876,45839.1666666667,3252.77208935735,47916.4753747323
49,48859.9893235504,3294.95068433584,46323.5294117647,5711.52281347157,45888.1176470588,3214.42579718611,47916.4753747323
50,48764.0555097828,3046.90186310957,46010.4651162791,5653.10584544877,45459.1860465116,3205.77474278161,47916.4753747323
51,48736.4780070696,3132.68836066872,45826.4367816092,5590.4370778975,45335.5172413793,3170.93885757357,47916.4753747323
52,48652.8379207425,3757.86917915336,46432.9545454545,5559.74355989726,45320.3409090909,3134.52844635749,47916.4753747323
53,48016.0478256229,3417.3276795542,46017.9775280899,5512.38476758689,45372.9213483146,3099.35991793217,47916.4753747323
54,48335.0088395097,3072.84208634862,47977.7777777778,5795.80487435461,45446.5555555556,3065.43009428521,47916.4753747323
55,48613.9579279687,3469.32936255641,47725.2747252747,5737.02822873482,45046.043956044,3058.00498541819,47916.4753747323
56,47380.1775460469,2789.09128301905,47668.4782608696,5674.27134473485,45784.6739130435,3114.25241923111,47916.4753747323
57,47109.9741310243,3837.94254140614,47596.7741935484,5613.05747177997,45776.2365591398,3080.41353017269,47916.4753747323
58,47260.2515083237,3271.01622690375,47250,5563.63595553034,45502.0212765957,3059.73590419836,47916.4753747323
59,46931.0822702951,2926.44193737119,47342.1052631579,5505.22707476656,45402,3028.85504276401,47916.4753747323
60,55350.0964178601,5792.82947392171,46995.8333333333,5458.3877251172,45064.4791666667,3016.11717102606,47916.4753747323
61,55155.8384897016,5319.26560115491,46676.2886597938,5411.07138959785,44990.618556701,2985.62255343223,47916.4753747323
62,54952.6487184548,5463.38535520529,46761.2244897959,5355.9675979117,46888.6734693878,3517.22185582845,47916.4753747323
63,54798.2273643735,5852.56964390141,47501.0101010101,5353.2052632884,48576.6666666667,3872.73380146931,47916.4753747323
64,52646.0765157691,4566.20182873366,47106,5313.98288870167,48827.9,3841.92163463133,47916.4753747323
65,52329.1351978309,4493.96089830663,47085.1485148515,5260.88479557168,48403.8613861386,3827.30159242853,47916.4753747323
66,53833.5132772863,5691.51813357695,46741.1764705882,5220.25407508605,47997.9411764706,3811.30055842324,47916.4753747323
67,53749.466077332,4529.4612615028,46437.8640776699,5178.05348394109,48211.5533980583,3780.03464452735,47916.4753747323
68,55476.3393437174,5662.2334265815,46288.4615384615,5129.97826929502,48013.3653846154,3748.62892863202,47916.4753747323
69,53321.209847413,5743.77188644927,45885.7142857143,5096.74261086836,48052.2857142857,3712.79038336268,47916.4753747323
70,54749.1528723466,5057.13948199705,46066.0377358491,5051.45243777894,47976.320754717,3678.22246907135,47916.4753747323
71,52957.4112928318,4078.68897234375,46758.8785046729,5051.98412309937,48387.7570093458,3666.89667276907,47916.4753747323
72,53267.6091467003,4965.75077896595,46362.962962963,5020.55076557149,48004.537037037,3652.97223343573,47916.4753747323
