"epochs","BARTMean","BARTsd","MIMean","MIsd","BRmean","BRsd","PoptMean"
1,64.2525431425474,1.47345129423255,66.9375,16.4119105058373,66.125,17.3813953187253,67.8696741854637
2,64.2601585249984,1.13905265032637,66.5454545454545,16.3096806166823,66.2424242424242,17.1209489789379,67.8696741854637
3,66.104961399246,1.62940244806195,65.0294117647059,18.3327580528766,65.6470588235294,17.2132478102842,67.8696741854637
4,65.9940991633001,1.70673743254545,65.3428571428571,18.1560925718887,65.4857142857143,16.9850651154121,67.8696741854637
5,65.0337076896267,1.8933881391585,65.5833333333333,17.9529146061898,65.1666666666667,16.8497562508864,67.8696741854637
6,63.7532894234887,1.473216866123,65.2972972972973,17.7871127893591,63.8108108108108,18.5484917593465,67.8696741854637
7,64.6963729767599,1.26299868238104,65.3947368421053,17.555378745611,64.1315789473684,18.402659990796,67.8696741854637
8,65.5345092418413,1.55704977391062,66.2820512820513,18.1875444914612,64.3846153846154,18.2275317851803,67.8696741854637
9,65.6867395852866,1.35558485988566,66.1,17.9897406660232,64.15,18.0534107864869,67.8696741854637
10,68.2722864354889,1.82949601892597,65.3170731707317,18.457300756598,64.2682926829268,17.8423994886393,67.8696741854637
