"epochs","BARTMean","BARTsd","MIMean","MIsd","BRmean","BRsd","PoptMean"
1,62.6804922481149,1.80161308763065,62.75,14.6534529790943,62.35,14.9535244921337,62.8033707865169
2,63.247026414394,0.934907185849741,62.5714285714286,14.3058429621306,62.0476190476191,14.6406153916978,62.8033707865169
3,58.8576007475809,1.75226049213987,62.2272727272727,14.0540853853005,61.9090909090909,14.3025441989448,62.8033707865169
4,58.4273828144927,1.41704343959476,62.2608695652174,13.7319050896554,61.6086956521739,14.0477728109696,62.8033707865169
5,58.8463138112635,2.05012414046185,62.7083333333333,13.6077956131504,61.6666666666667,13.7419278018095,62.8033707865169
6,58.2585771074676,1.57379983233449,63.4,13.7628727621332,62.12,13.6422138965785,62.8033707865169
7,54.5815144802437,2.40548583133832,62.9615384615385,13.6688866239523,62.8076923076923,13.8188834014018,62.8033707865169
8,54.0450705459179,1.85371010087054,63.3333333333333,13.5419575905633,62.4074074074074,13.7092311944551,62.8033707865169
9,52.2513829289702,1.22779299441754,63.5,13.3180467926183,62.7857142857143,13.601081500727,62.8033707865169
10,53.7395247601296,2.08476618404746,62.9655172413793,13.3910491390456,62.9655172413793,13.3910491390456,62.8033707865169
